entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,breezy,20four7va,20four7va,subdomain,https://20four7va.breezy.hr,https://20four7va.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,47-degrees,47-degrees,subdomain,https://47-degrees.breezy.hr,https://47-degrees.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,accrete-ai,accrete-ai,subdomain,https://accrete-ai.breezy.hr,https://accrete-ai.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,adwerx,adwerx,subdomain,https://adwerx.breezy.hr,https://adwerx.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,antithesis,antithesis,subdomain,https://antithesis.breezy.hr,https://antithesis.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,arena-club,arena-club,subdomain,https://arena-club.breezy.hr,https://arena-club.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,avail,avail,subdomain,https://avail.breezy.hr,https://avail.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,awarri,awarri,subdomain,https://awarri.breezy.hr,https://awarri.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,bear-robotics,bear-robotics,subdomain,https://bear-robotics.breezy.hr,https://bear-robotics.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,binary-star,binary-star,subdomain,https://binary-star.breezy.hr,https://binary-star.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,brainscape,brainscape,subdomain,https://brainscape.breezy.hr,https://brainscape.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,ca-office-of-digital-innovation,ca-office-of-digital-innovation,subdomain,https://ca-office-of-digital-innovation.breezy.hr,https://ca-office-of-digital-innovation.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,canoo,canoo,subdomain,https://canoo.breezy.hr,https://canoo.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,centrifuge,centrifuge,subdomain,https://centrifuge.breezy.hr,https://centrifuge.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,city-report-inc,city-report-inc,subdomain,https://city-report-inc.breezy.hr,https://city-report-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,civey,civey,subdomain,https://civey.breezy.hr,https://civey.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,code-states,code-states,subdomain,https://code-states.breezy.hr,https://code-states.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,codeverse,codeverse,subdomain,https://codeverse.breezy.hr,https://codeverse.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,coinroutes-inc,coinroutes-inc,subdomain,https://coinroutes-inc.breezy.hr,https://coinroutes-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,combient,combient,subdomain,https://combient.breezy.hr,https://combient.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,cove,cove,subdomain,https://cove.breezy.hr,https://cove.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,crewscope,crewscope,subdomain,https://crewscope.breezy.hr,https://crewscope.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,crowdbotics-corp,crowdbotics-corp,subdomain,https://crowdbotics-corp.breezy.hr,https://crowdbotics-corp.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,datamaxis,datamaxis,subdomain,https://datamaxis.breezy.hr,https://datamaxis.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,decent,decent,subdomain,https://decent.breezy.hr,https://decent.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,deep-ivy-ltd,deep-ivy-ltd,subdomain,https://deep-ivy-ltd.breezy.hr,https://deep-ivy-ltd.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,dex-labs,dex-labs,subdomain,https://dex-labs.breezy.hr,https://dex-labs.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,disco,disco,subdomain,https://disco.breezy.hr,https://disco.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,earl-hardy,earl-hardy,subdomain,https://earl-hardy.breezy.hr,https://earl-hardy.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,eigroup,eigroup,subdomain,https://eigroup.breezy.hr,https://eigroup.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,etiqa-srl,etiqa-srl,subdomain,https://etiqa-srl.breezy.hr,https://etiqa-srl.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,formlogic,formlogic,subdomain,https://formlogic.breezy.hr,https://formlogic.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,freeeup,freeeup,subdomain,https://freeeup.breezy.hr,https://freeeup.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,fy,fy,subdomain,https://fy.breezy.hr,https://fy.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,gastronomous-technologies-inc,gastronomous-technologies-inc,subdomain,https://gastronomous-technologies-inc.breezy.hr,https://gastronomous-technologies-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,gesture-us-inc,gesture-us-inc,subdomain,https://gesture-us-inc.breezy.hr,https://gesture-us-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,givecampus,givecampus,subdomain,https://givecampus.breezy.hr,https://givecampus.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,gravitational,gravitational,subdomain,https://gravitational.breezy.hr,https://gravitational.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,gsmc,gsmc,subdomain,https://gsmc.breezy.hr,https://gsmc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,guusto,guusto,subdomain,https://guusto.breezy.hr,https://guusto.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,hyspeciq,hyspeciq,subdomain,https://hyspeciq.breezy.hr,https://hyspeciq.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,iff,iff,subdomain,https://iff.breezy.hr,https://iff.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,infinyon,infinyon,subdomain,https://infinyon.breezy.hr,https://infinyon.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,internet-freedom-foundation,internet-freedom-foundation,subdomain,https://internet-freedom-foundation.breezy.hr,https://internet-freedom-foundation.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,intramotev-autonomous-rail,intramotev-autonomous-rail,subdomain,https://intramotev-autonomous-rail.breezy.hr,https://intramotev-autonomous-rail.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,invisible-technologies,invisible-technologies,subdomain,https://invisible-technologies.breezy.hr,https://invisible-technologies.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,ivisa,ivisa,subdomain,https://ivisa.breezy.hr,https://ivisa.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,jro-ventures,jro-ventures,subdomain,https://jro-ventures.breezy.hr,https://jro-ventures.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,kabuni,kabuni,subdomain,https://kabuni.breezy.hr,https://kabuni.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,lemonade-technology-inc,lemonade-technology-inc,subdomain,https://lemonade-technology-inc.breezy.hr,https://lemonade-technology-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,lethub,lethub,subdomain,https://lethub.breezy.hr,https://lethub.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,linode,linode,subdomain,https://linode.breezy.hr,https://linode.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,llamaindex,llamaindex,subdomain,https://llamaindex.breezy.hr,https://llamaindex.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,ltg,ltg,subdomain,https://ltg.breezy.hr,https://ltg.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,lufco,lufco,subdomain,https://lufco.breezy.hr,https://lufco.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,matroid,matroid,subdomain,https://matroid.breezy.hr,https://matroid.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,maxab,maxab,subdomain,https://maxab.breezy.hr,https://maxab.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,milu-health,milu-health,subdomain,https://milu-health.breezy.hr,https://milu-health.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,nalpeiron-inc,nalpeiron-inc,subdomain,https://nalpeiron-inc.breezy.hr,https://nalpeiron-inc.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,nationsbenefits,nationsbenefits,subdomain,https://nationsbenefits.breezy.hr,https://nationsbenefits.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,navaide,navaide,subdomain,https://navaide.breezy.hr,https://navaide.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,netsync-network-solutions,netsync-network-solutions,subdomain,https://netsync-network-solutions.breezy.hr,https://netsync-network-solutions.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,breezy,nexthire,nexthire,subdomain,https://nexthire.breezy.hr,https://nexthire.breezy.hr/json?verbose=true,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
