entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,pinpoint,accenture,accenture,subdomain,https://accenture.pinpointhq.com,https://accenture.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,appquantum,appquantum,subdomain,https://appquantum.pinpointhq.com,https://appquantum.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,ardentprinciples,ardentprinciples,subdomain,https://ardentprinciples.pinpointhq.com,https://ardentprinciples.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,astrolab,astrolab,subdomain,https://astrolab.pinpointhq.com,https://astrolab.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,cfc,cfc,subdomain,https://cfc.pinpointhq.com,https://cfc.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,coforma,coforma,subdomain,https://coforma.pinpointhq.com,https://coforma.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,confluence,confluence,subdomain,https://confluence.pinpointhq.com,https://confluence.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,cottonholdings,cottonholdings,subdomain,https://cottonholdings.pinpointhq.com,https://cottonholdings.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,cuvva,cuvva,subdomain,https://cuvva.pinpointhq.com,https://cuvva.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,db1group,db1group,subdomain,https://db1group.pinpointhq.com,https://db1group.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,deepseas,deepseas,subdomain,https://deepseas.pinpointhq.com,https://deepseas.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,digitalscience,digitalscience,subdomain,https://digitalscience.pinpointhq.com,https://digitalscience.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,enablemedicine,enablemedicine,subdomain,https://enablemedicine.pinpointhq.com,https://enablemedicine.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,enosisbd,enosisbd,subdomain,https://enosisbd.pinpointhq.com,https://enosisbd.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,epuki,epuki,subdomain,https://epuki.pinpointhq.com,https://epuki.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,everi,everi,subdomain,https://everi.pinpointhq.com,https://everi.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,exclaimer,exclaimer,subdomain,https://exclaimer.pinpointhq.com,https://exclaimer.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,gentrack,gentrack,subdomain,https://gentrack.pinpointhq.com,https://gentrack.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,harnham,harnham,subdomain,https://harnham.pinpointhq.com,https://harnham.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,hazelcast,hazelcast,subdomain,https://hazelcast.pinpointhq.com,https://hazelcast.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,idtus,idtus,subdomain,https://idtus.pinpointhq.com,https://idtus.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,impulsespace,impulsespace,subdomain,https://impulsespace.pinpointhq.com,https://impulsespace.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,intermedia,intermedia,subdomain,https://intermedia.pinpointhq.com,https://intermedia.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,pinpoint,knack,knack,subdomain,https://knack.pinpointhq.com,https://knack.pinpointhq.com/postings.json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
