entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,personio,1komma5grad,1komma5grad,subdomain,https://1komma5grad.jobs.personio.de,https://1komma5grad.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,1nce,1nce,subdomain,https://1nce.jobs.personio.de,https://1nce.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,adsquare,adsquare,subdomain,https://adsquare.jobs.personio.de,https://adsquare.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,agile-robots,agile-robots,subdomain,https://agile-robots.jobs.personio.de,https://agile-robots.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,alephalpha,alephalpha,subdomain,https://alephalpha.jobs.personio.de,https://alephalpha.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,apheris,apheris,subdomain,https://apheris.jobs.personio.de,https://apheris.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,appliedai,appliedai,subdomain,https://appliedai.jobs.personio.de,https://appliedai.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,autarcenergy,autarcenergy,subdomain,https://autarcenergy.jobs.personio.de,https://autarcenergy.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,banxware,banxware,subdomain,https://banxware.jobs.personio.de,https://banxware.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,building-radar,building-radar,subdomain,https://building-radar.jobs.personio.de,https://building-radar.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,capmo,capmo,subdomain,https://capmo.jobs.personio.de,https://capmo.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,caravelo,caravelo,subdomain,https://caravelo.jobs.personio.de,https://caravelo.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,casavi,casavi,subdomain,https://casavi.jobs.personio.de,https://casavi.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,celonis,celonis,subdomain,https://celonis.jobs.personio.de,https://celonis.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,cip-marketing-gmbh,cip-marketing-gmbh,subdomain,https://cip-marketing-gmbh.jobs.personio.de,https://cip-marketing-gmbh.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,personio,circus,circus,subdomain,https://circus.jobs.personio.de,https://circus.jobs.personio.de/xml?language=en,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
