entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,lever,1password,1password,slug,https://jobs.lever.co/1password,https://api.lever.co/v0/postings/1password?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,3box,3box,slug,https://jobs.lever.co/3box,https://api.lever.co/v0/postings/3box?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,accesssoftek,accesssoftek,slug,https://jobs.lever.co/accesssoftek,https://api.lever.co/v0/postings/accesssoftek?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,accurate,accurate,slug,https://jobs.lever.co/accurate,https://api.lever.co/v0/postings/accurate?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,actian,actian,slug,https://jobs.lever.co/actian,https://api.lever.co/v0/postings/actian?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,ada,ada,slug,https://jobs.lever.co/ada,https://api.lever.co/v0/postings/ada?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,addi,addi,slug,https://jobs.lever.co/addi,https://api.lever.co/v0/postings/addi?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,aechelon,aechelon,slug,https://jobs.lever.co/aechelon,https://api.lever.co/v0/postings/aechelon?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,affirm,affirm,slug,https://jobs.lever.co/affirm,https://api.lever.co/v0/postings/affirm?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,agotai,agotai,slug,https://jobs.lever.co/agotai,https://api.lever.co/v0/postings/agotai?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,aircall,aircall,slug,https://jobs.lever.co/aircall,https://api.lever.co/v0/postings/aircall?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,ambrook,ambrook,slug,https://jobs.lever.co/ambrook,https://api.lever.co/v0/postings/ambrook?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,anavationllc,anavationllc,slug,https://jobs.lever.co/anavationllc,https://api.lever.co/v0/postings/anavationllc?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,anduril,anduril,slug,https://jobs.lever.co/anduril,https://api.lever.co/v0/postings/anduril?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,lever,ansatzcapital,ansatzcapital,slug,https://jobs.lever.co/ansatzcapital,https://api.lever.co/v0/postings/ansatzcapital?mode=json,,GET,public_seed_unverified,2026-09-22,GitHub code-search harvest + public ATS lists,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
