entry_type,ats,company,board_token,token_type,hosted_board_url,api_jobs_url,api_jobs_content_url,api_method,source_status,source_checked_date,source_dataset,source_url,notes
board,recruitee,11bitstudios,11bitstudios,subdomain,https://11bitstudios.recruitee.com,https://11bitstudios.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,1x,1x,subdomain,https://1x.recruitee.com,https://1x.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,aerolab,aerolab,subdomain,https://aerolab.recruitee.com,https://aerolab.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,aikidosecurity,aikidosecurity,subdomain,https://aikidosecurity.recruitee.com,https://aikidosecurity.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,analystinstitute,analystinstitute,subdomain,https://analystinstitute.recruitee.com,https://analystinstitute.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,antire,antire,subdomain,https://antire.recruitee.com,https://antire.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,aquablu,aquablu,subdomain,https://aquablu.recruitee.com,https://aquablu.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,ascendingai,ascendingai,subdomain,https://ascendingai.recruitee.com,https://ascendingai.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,atlys,atlys,subdomain,https://atlys.recruitee.com,https://atlys.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,attendi,attendi,subdomain,https://attendi.recruitee.com,https://attendi.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,authenteq,authenteq,subdomain,https://authenteq.recruitee.com,https://authenteq.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,auxolar,auxolar,subdomain,https://auxolar.recruitee.com,https://auxolar.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,baz,baz,subdomain,https://baz.recruitee.com,https://baz.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,bemind,bemind,subdomain,https://bemind.recruitee.com,https://bemind.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,bettercollective,bettercollective,subdomain,https://bettercollective.recruitee.com,https://bettercollective.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,betterplaceorg,betterplaceorg,subdomain,https://betterplaceorg.recruitee.com,https://betterplaceorg.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,bigcartel,bigcartel,subdomain,https://bigcartel.recruitee.com,https://bigcartel.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,birdeatsbug,birdeatsbug,subdomain,https://birdeatsbug.recruitee.com,https://birdeatsbug.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,bitfinex,bitfinex,subdomain,https://bitfinex.recruitee.com,https://bitfinex.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,bossabox,bossabox,subdomain,https://bossabox.recruitee.com,https://bossabox.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,cainwattersassociates,cainwattersassociates,subdomain,https://cainwattersassociates.recruitee.com,https://cainwattersassociates.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,causalens,causalens,subdomain,https://causalens.recruitee.com,https://causalens.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,centreon,centreon,subdomain,https://centreon.recruitee.com,https://centreon.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,chaos,chaos,subdomain,https://chaos.recruitee.com,https://chaos.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,chargify,chargify,subdomain,https://chargify.recruitee.com,https://chargify.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,chimpworks,chimpworks,subdomain,https://chimpworks.recruitee.com,https://chimpworks.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,claranetitalia,claranetitalia,subdomain,https://claranetitalia.recruitee.com,https://claranetitalia.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,comnovogmbh,comnovogmbh,subdomain,https://comnovogmbh.recruitee.com,https://comnovogmbh.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,crazygames,crazygames,subdomain,https://crazygames.recruitee.com,https://crazygames.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,cscfi,cscfi,subdomain,https://cscfi.recruitee.com,https://cscfi.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,dataforce,dataforce,subdomain,https://dataforce.recruitee.com,https://dataforce.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
board,recruitee,ddx,ddx,subdomain,https://ddx.recruitee.com,https://ddx.recruitee.com/api/offers/,,GET,public_seed_unverified,2026-09-22,Tindi12/Scout public ATS list + GitHub code-search harvest,https://github.com/,Publicly observed ATS tenant/board token. Validate live status during crawler execution.
